                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    143,                0.43759,                 0.5404,                 1.0913,                0.81172,                   0.72,                0.82238,                0.38624,                 2.0239,                 1.2599,                 4.5398,               0.005314,               0.005314,               0.005314
                    144,                0.43844,                0.54791,                 1.0846,                0.69031,                   0.79,                 0.7973,                0.37085,                 2.0097,                 1.2313,                 4.4802,               0.005281,               0.005281,               0.005281
                    145,                0.44505,                0.55534,                 1.0909,                 0.7115,                   0.84,                0.81992,                0.38477,                 2.0079,                 1.1448,                 4.4392,               0.005248,               0.005248,               0.005248
                    146,                0.44253,                0.54306,                 1.0961,                0.79282,                0.80908,                0.84927,                0.39374,                 1.9693,                   1.15,                 4.3043,               0.005215,               0.005215,               0.005215
                    147,                 0.4395,                0.54903,                 1.0942,                0.73127,                    0.8,                0.83057,                0.38068,                 2.0277,                 1.1644,                 4.4034,               0.005182,               0.005182,               0.005182
                    148,                0.44148,                0.53698,                 1.0839,                0.75252,                0.84512,                0.84775,                0.39425,                 2.0654,                 1.0825,                 4.4418,               0.005149,               0.005149,               0.005149
                    149,                0.43831,                 0.5291,                 1.0834,                0.76516,                0.78975,                 0.8403,                0.38877,                 2.0821,                 1.0678,                 4.3745,               0.005116,               0.005116,               0.005116
                    150,                0.43803,                0.53886,                 1.0972,                0.76157,                0.85418,                0.84405,                0.37995,                 2.0726,                 1.0916,                 4.4459,               0.005083,               0.005083,               0.005083
                    151,                0.44294,                0.53513,                 1.0908,                 0.7365,                   0.87,                0.83536,                0.38296,                 2.0521,                  1.112,                 4.3355,                0.00505,                0.00505,                0.00505
                    152,                0.43687,                0.52492,                 1.0929,                0.76372,                0.79837,                0.82477,                0.38397,                 2.0399,                 1.0938,                 4.4583,               0.005017,               0.005017,               0.005017
                    153,                 0.4516,                0.52604,                 1.1005,                0.74633,                   0.82,                0.81451,                0.38765,                 2.0047,                 1.1824,                 4.4198,               0.004984,               0.004984,               0.004984
                    154,                0.43452,                0.54047,                 1.0874,                0.70936,                0.87978,                0.82642,                 0.3803,                 2.0748,                 1.1704,                 4.6937,               0.004951,               0.004951,               0.004951
